Title,Author,Original Price,Discounted Price,URL
পুনরাধুনিক বাংলা কবিতা কী কেন এবং কীভাবে,Anupam Mukhopadhyay,২৮৫.০০ টাকা,২৭০.৭৫ টাকা,https://www.prothoma.com/product/9120/%E0%A6%AA%E0%A7%81%E0%A6%A8%E0%A6%B0%E0%A6%BE%E0%A6%A7%E0%A7%81%E0%A6%A8%E0%A6%BF%E0%A6%95-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE-%E0%A6%95%E0%A7%80-%E0%A6%95%E0%A7%87%E0%A6%A8-%E0%A6%8F%E0%A6%AC%E0%A6%82-%E0%A6%95%E0%A7%80%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%87
নির্মাণের খসড়া,বিনয় মজুমদার,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/8949/%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AE%E0%A6%BE%E0%A6%A3%E0%A7%87%E0%A6%B0-%E0%A6%96%E0%A6%B8%E0%A6%A1%E0%A6%BC%E0%A6%BE
অবশেষে বাঁচতে শিখছি - জাঁক দেরিদা,অভীক চট্টোপাধ্যায়,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/8797/%E0%A6%85%E0%A6%AC%E0%A6%B6%E0%A7%87%E0%A6%B7%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A6%81%E0%A6%9A%E0%A6%A4%E0%A7%87-%E0%A6%B6%E0%A6%BF%E0%A6%96%E0%A6%9B%E0%A6%BF---%E0%A6%9C%E0%A6%BE%E0%A6%81%E0%A6%95-%E0%A6%A6%E0%A7%87%E0%A6%B0%E0%A6%BF%E0%A6%A6%E0%A6%BE
নৈঃশব্দের অন্তস্রোত,আলোক সরকার,২৫০.০০ টাকা,২৩৭.৫০ টাকা,https://www.prothoma.com/product/7979/%E0%A6%A8%E0%A7%88%E0%A6%83%E0%A6%B6%E0%A6%AC%E0%A7%8D%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B8%E0%A7%8D%E0%A6%B0%E0%A7%8B%E0%A6%A4
ছোটো ছোটো গদ্য ও পদ্য,বিনয় মজুমদার,১৪০.০০ টাকা,১৩৩.০০ টাকা,https://www.prothoma.com/product/7948/%E0%A6%9B%E0%A7%8B%E0%A6%9F%E0%A7%8B-%E0%A6%9B%E0%A7%8B%E0%A6%9F%E0%A7%8B-%E0%A6%97%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%93-%E0%A6%AA%E0%A6%A6%E0%A7%8D%E0%A6%AF
আমি বক্তৃতা দিতে আসি নি,গাব্রিয়েল গার্সিয়া মার্কেস,১৯০.০০ টাকা,১৮০.৫০ টাকা,https://www.prothoma.com/product/7943/%E0%A6%86%E0%A6%AE%E0%A6%BF-%E0%A6%AC%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A7%83%E0%A6%A4%E0%A6%BE-%E0%A6%A6%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%86%E0%A6%B8%E0%A6%BF-%E0%A6%A8%E0%A6%BF
সাক্ষাৎ অমিয়ভূষণ,উৎপল ভট্টাচার্য,৩৮০.০০ টাকা,৩৬১.০০ টাকা,https://www.prothoma.com/product/7507/%E0%A6%B8%E0%A6%BE%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE%E0%A7%8E-%E0%A6%85%E0%A6%AE%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%AD%E0%A7%82%E0%A6%B7%E0%A6%A3
"RULES OF BUSINESS, 1996",Jayanty Sanyal,৪৩৫.০০ টাকা,৪১৩.২৫ টাকা,https://www.prothoma.com/product/7283/rules-of-business-1996
কবিতীর্থ : মাঘ ১৪২৪,উৎপল ভট্টাচার্য,৪৭৫.০০ টাকা,৪৫১.২৫ টাকা,https://www.prothoma.com/product/6600/%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A7%80%E0%A6%B0%E0%A7%8D%E0%A6%A5-:-%E0%A6%AE%E0%A6%BE%E0%A6%98-%E0%A7%A7%E0%A7%AA%E0%A7%A8%E0%A7%AA
অন্য জানালা,সুস্নাত জানা,৫৭০.০০ টাকা,৫৪১.৫০ টাকা,https://www.prothoma.com/product/6584/%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%9C%E0%A6%BE%E0%A6%A8%E0%A6%BE%E0%A6%B2%E0%A6%BE
কবিতীর্থ : মাঘ ১৪২৩,উৎপল ভট্টাচার্য,৪৭৫.০০ টাকা,৪৫১.২৫ টাকা,https://www.prothoma.com/product/6539/%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A7%80%E0%A6%B0%E0%A7%8D%E0%A6%A5-:-%E0%A6%AE%E0%A6%BE%E0%A6%98-%E0%A7%A7%E0%A7%AA%E0%A7%A8%E0%A7%A9
জীবনের জার্নাল,অরুণেশ ঘোষ,৮০.০০ টাকা,৭৬.০০ টাকা,https://www.prothoma.com/product/5308/%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A8%E0%A6%BE%E0%A6%B2
উপন্যাসের অন্য ভুবন,Udaysankar Barma,২৫০.০০ টাকা,২৩৭.৫০ টাকা,https://www.prothoma.com/product/4790/%E0%A6%89%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8%E0%A7%87%E0%A6%B0-%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%AD%E0%A7%81%E0%A6%AC%E0%A6%A8
